# file...... time_results/line_in_C/overhead_line_losses.csv
# date...... Tue Feb 27 16:13:22 2018
# user...... ericlinxie
# host...... (null)
# group..... class=overhead_line
# property.. current_in_C
# limit..... 0
# interval.. 0
# timestamp,line_632-645,line_645-646,line_630-632,line_632-6321,line_6321-671,line_671-680,line_671-684,line_684-611,line_632-633
2000-08-02 00:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7347+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 01:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 02:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 03:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 04:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 05:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 06:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 07:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 08:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
2000-08-02 09:00:00 HDT,+34.7414+55.2277j,+34.7425+55.2281j,-46.5895+583.283j,-91.7348+466.305j,-93.6032+429.098j,-0.00261339-0.00147451j,-43.1911+60.348j,-43.1905+60.3484j,+10.4092+61.7545j
