# file...... time_results/meter_data_no1547_zip/current/m652.csv
# date...... Wed May  2 01:07:02 2018
# user...... ericlinxie
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag
2000-08-02 11:51:14 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:15 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:16 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:17 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:18 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:19 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:20 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:21 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:22 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:23 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:24 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:25 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:26 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:27 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:28 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:29 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:30 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:31 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:32 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:33 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:34 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:35 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:36 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:37 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:38 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:39 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:40 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:41 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:42 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:43 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:44 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:45 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:46 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:47 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:48 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:49 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:50 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:51 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:52 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:53 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:54 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:55 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:56 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:57 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:58 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:51:59 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:00 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:01 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:02 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:03 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:04 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:05 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:06 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:07 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:08 HDT,+57.7922,-29.5906,+0,+0,+0,+0
