# file...... time_results/line_in_C_pv/transformer_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=transformer
# property.. current_in_C
# limit..... 0
# interval.. 0
# timestamp,transformer_633-634
2000-08-02 00:00:00 HDT,+10.4105+61.7554j
2000-08-02 01:00:00 HDT,+10.4105+61.7554j
2000-08-02 02:00:00 HDT,+10.4105+61.7554j
2000-08-02 03:00:00 HDT,+10.4105+61.7554j
2000-08-02 04:00:00 HDT,+10.4105+61.7554j
2000-08-02 05:00:00 HDT,+10.4105+61.7554j
2000-08-02 06:00:00 HDT,+10.0434+61.6166j
2000-08-02 07:00:00 HDT,+8.96631+61.2154j
2000-08-02 08:00:00 HDT,+8.42617+61.1209j
2000-08-02 09:00:00 HDT,+7.07251+60.7183j
2000-08-02 10:00:00 HDT,+5.79602+60.577j
2000-08-02 11:00:00 HDT,+5.57779+60.8566j
2000-08-02 12:00:00 HDT,+2.76645+60.0883j
2000-08-02 13:00:00 HDT,-0.641082+64.8586j
2000-08-02 14:00:00 HDT,+1.3198+60.7879j
2000-08-02 15:00:00 HDT,-1.34486+66.0039j
2000-08-02 16:00:00 HDT,+2.92833+62.0542j
2000-08-02 17:00:00 HDT,+2.87251+64.4232j
2000-08-02 18:00:00 HDT,+9.68341+61.5771j
2000-08-02 19:00:00 HDT,+10.4105+61.7554j
2000-08-02 20:00:00 HDT,+10.4105+61.7554j
2000-08-02 21:00:00 HDT,+10.4105+61.7554j
2000-08-02 22:00:00 HDT,+10.4105+61.7554j
2000-08-02 23:00:00 HDT,+10.4105+61.7554j
2000-08-03 00:00:00 HDT,+10.4105+61.7554j
