# file...... time_results/line_in_C_pv/switch_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=switch
# property.. current_in_C
# limit..... 0
# interval.. 0
# timestamp,switch_671-692
2000-08-02 00:00:00 HDT,-63.3915+166.664i
2000-08-02 01:00:00 HDT,-63.3915+166.664i
2000-08-02 02:00:00 HDT,-63.3915+166.664i
2000-08-02 03:00:00 HDT,-63.3915+166.664i
2000-08-02 04:00:00 HDT,-63.3915+166.664i
2000-08-02 05:00:00 HDT,-63.3915+166.664i
2000-08-02 06:00:00 HDT,-65.2721+165.033i
2000-08-02 07:00:00 HDT,-70.6134+160.133i
2000-08-02 08:00:00 HDT,-72.9524+158.202i
2000-08-02 09:00:00 HDT,-78.9511+152.202i
2000-08-02 10:00:00 HDT,-83.7971+147.653i
2000-08-02 11:00:00 HDT,-84.0374+148.616i
2000-08-02 12:00:00 HDT,-94.4274+135.117i
2000-08-02 13:00:00 HDT,-101.506+151.473i
2000-08-02 14:00:00 HDT,-97.9284+134.009i
2000-08-02 15:00:00 HDT,-103.923+155.578i
2000-08-02 16:00:00 HDT,-91.4777+147.069i
2000-08-02 17:00:00 HDT,-89.1724+161.281i
2000-08-02 18:00:00 HDT,-66.8622+163.948i
2000-08-02 19:00:00 HDT,-63.3915+166.664i
2000-08-02 20:00:00 HDT,-63.3915+166.664i
2000-08-02 21:00:00 HDT,-63.3915+166.664i
2000-08-02 22:00:00 HDT,-63.3915+166.664i
2000-08-02 23:00:00 HDT,-63.3915+166.664i
2000-08-03 00:00:00 HDT,-63.3915+166.664i
